,SMILES,CID,Unnamed: 2,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,LogP,MW,HBD,HBA,PSA,ROTB,AROM,FSP3,FC,QED
168,CC(C)(C)c1ccc(N(C(=O)c2nc(CN3CCOCC3)cs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-305f6ec3-58,,,99.5,,,,,5.5539,615.775,1,7,87.66,10,4,0.352941176,0,0.251714115
169,CC(C)(C)c1ccc(N(C(=O)c2cc(=O)[nH][nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-305f6ec3-59,,,39.70094521,4.401199153,,,,4.2816,515.589,3,4,110.95,8,4,0.24137931,0,0.325247481
170,CC(=O)N1CCN(CC(=O)Nc2cnccc2C2CC2)CC1,EDJ-MED-3c65e9ce-2,,,99.5,,,,,1.0616,302.378,1,4,65.54,4,1,0.5625,0,0.903076189
171,CC(=O)N1CCN(CC(=O)Nc2cnccc2-c2ccccc2)CC1,EDJ-MED-3c65e9ce-3,,,99.5,,,,,1.8512,338.411,1,4,65.54,4,2,0.315789474,0,0.923945497
172,Cc1ccncc1NC(=O)CN1CCC(C)CC1,EDJ-MED-3c65e9ce-4,,,49.15013972,4.308475243,,,,2.06042,247.342,1,3,45.23,3,1,0.571428571,0,0.888936886
173,O=C(Nc1cncc2ccccc12)[C@@H]1COc2ccc(Cl)cc21,EDJ-MED-12c115cc-1,,,0.555010229,6.255699013,,,,4.0029,324.767,1,3,51.22,2,3,0.111111111,0,0.774754743
174,O=C(Nc1cncc2ccccc12)[C@H]1COc2ccc(Cl)cc21,EDJ-MED-12c115cc-2,,,26.94634644,,,,,4.0029,324.767,1,3,51.22,2,3,0.111111111,0,0.774754743
175,O=C(NCc1cccs1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-f8a636e2-1,,,99.5,,,,,3.7616,362.454,1,3,49.41,5,3,0.142857143,0,0.751219755
176,O=C1CCCN1Cc1cccc(C(=O)N2CCC(C3CCNC3)CC2)c1,LON-WEI-b2874fec-1,,,99.5,,,,,2.2707,355.482,1,3,52.65,4,1,0.619047619,0,0.901428815
177,Cc1ccc(Nc2ccccc2C(=O)N2CCC(C3CCNC3)CC2)cc1,LON-WEI-b2874fec-2,,,99.5,,,,,4.20032,363.505,2,3,44.37,4,2,0.434782609,0,0.855594455
